State,Years,Unemployment Rate
Florida,2010,10.8250000000000000
Florida,2011,10.0000000000000000
Florida,2012,8.6666666666666667
Florida,2013,7.5333333333333333
Florida,2014,6.4333333333333333
Florida,2015,5.5250000000000000
Florida,2016,4.9166666666666667
Florida,2017,4.3000000000000000
Florida,2018,3.7000000000000000
Florida,2019,3.2250000000000000
Florida,2020,8.2666666666666667
Florida,2021,4.6000000000000000
Illinois,2010,10.5000000000000000
Illinois,2011,9.7750000000000000
Illinois,2012,9.0250000000000000
Illinois,2013,9.0750000000000000
Illinois,2014,7.1666666666666667
Illinois,2015,6.0333333333333333
Illinois,2016,5.8916666666666667
Illinois,2017,4.9333333333333333
Illinois,2018,4.3750000000000000
Illinois,2019,3.9583333333333333
Illinois,2020,9.2166666666666667
Illinois,2021,6.0500000000000000
