Date,Total Tax Collections in Millions
1994-01-01,3684
1994-04-01,4300
1994-07-01,3803
1994-10-01,3628
1995-01-01,4028
1995-04-01,4481
1995-07-01,4118
1995-10-01,3929
1996-01-01,4367
1996-04-01,4863
1996-07-01,4434
1996-10-01,4193
1997-01-01,4681
1997-04-01,5237
1997-07-01,4721
1997-10-01,4464
1998-01-01,4999
1998-04-01,5587
1998-07-01,4721
1998-10-01,4464
1999-01-01,4999
1999-04-01,5587
1999-07-01,5248
1999-10-01,5269
2000-01-01,6142
2000-04-01,7001
2000-07-01,5582
2000-10-01,5281
2001-01-01,5648
2001-04-01,6633
2001-07-01,5315
2001-10-01,5281
2002-01-01,5670
2002-04-01,6208
2002-07-01,5397
2002-10-01,5299
2003-01-01,5393
2003-04-01,6123
2003-07-01,5638
2003-10-01,5656
2004-01-01,6047
2004-04-01,6613
2004-07-01,6012
2004-10-01,5787
2005-01-01,6989
2005-04-01,7464
2005-07-01,6435
2005-10-01,6095
2006-01-01,6764
2006-04-01,8019
2006-07-01,6782
2006-10-01,6337
2007-01-01,7132
2007-04-01,8488
2007-07-01,6858
2007-10-01,6724
2008-01-01,7547
2008-04-01,8757
2008-07-01,6956
2008-10-01,6360
2009-01-01,6728
2009-04-01,8365
2009-07-01,6422
2009-10-01,6498
2010-01-01,7092
2010-04-01,7771
2010-07-01,7128
2010-10-01,7250
2011-01-01,7625
2011-04-01,9235
2011-07-01,8539
2011-10-01,8177
2012-01-01,9083
2012-04-01,10459
2012-07-01,8555
2012-10-01,8719
2013-01-01,9833
2013-04-01,11623
2013-07-01,9098
2013-10-01,9440
2014-01-01,10046
2014-04-01,11338
2014-07-01,9391
2014-10-01,9317
2015-01-01,9622
2015-04-01,11510
2015-07-01,9263
2015-10-01,9153
2016-01-01,9871
2016-04-01,10620
2016-07-01,9059
2016-10-01,8845
2017-01-01,8968
2017-04-01,9792
2017-07-01,9163
2017-10-01,9141
2018-01-01,10184
2018-04-01,11374
2018-07-01,10041
2018-10-01,10353
2019-01-01,10850
2019-04-01,13583
2019-07-01,10911
2019-10-01,11062
2020-01-01,12150
2020-04-01,11167
2020-07-01,13732
2020-10-01,11770
2021-01-01,12856
2021-04-01,16948
2021-07-01,13813
2021-10-01,13558
2022-01-01,15202
2022-04-01,14168
